OrderNumber,OrderQty,UnitPrice,OrderLineNumber,Sales,OrderDate,Status,QTR_ID,Month_ID,Year,ProductLine,CustomerName,City,State,Country,Region,Revenue
10259,28,46.82,1,1310.96,2004-06-15,Shipped,2,6,2004,Classic Cars,Handji Gifts& Co,Singapore,\N,Singapore,APAC,1310.96
10266,28,48.30,1,1352.40,2004-07-06,Shipped,3,7,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,\N,Italy,EMEA,1352.40
10180,28,71.14,1,1991.92,2003-11-11,Shipped,4,11,2003,Classic Cars,Daedalus Designs Imports,Lille,Lille,France,EMEA,1991.92
10309,28,88.68,1,2483.04,2004-10-15,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,Stavern,\N,Norway,EMEA,2483.04
10193,28,93.21,1,2609.88,2003-11-21,Shipped,4,11,2003,Vintage Cars,Australian Collectables,Melbourne,Glen Waverly,Australia,APAC,2609.88
10277,28,100.00,1,3127.88,2004-08-04,Shipped,3,8,2004,Classic Cars,Dragon Souveniers,Singapore,\N,Singapore,APAC,2800.00
10217,28,100.00,1,3148.88,2004-02-04,Shipped,1,2,2004,Trucks and Buses,Handji Gifts& Co,Singapore,\N,Singapore,APAC,2800.00
10183,28,100.00,1,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,Classic Gift Ideas,Philadelphia,Philadelphia,USA,NA,2800.00
10189,28,100.00,1,4512.48,2003-11-18,Shipped,4,11,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,NA,2800.00
10288,29,38.17,1,1106.93,2004-09-01,Shipped,3,9,2004,Vintage Cars,Handji Gifts& Co,Singapore,\N,Singapore,APAC,1106.93
10199,29,38.40,1,1113.60,2003-12-01,Shipped,4,12,2003,Vintage Cars,West Coast Collectables Co.,Burbank,CA,USA,NA,1113.60
10197,29,41.71,1,1209.59,2003-11-26,Shipped,4,11,2003,Planes,Enaco Distributors,Barcelona,Barcelona,Spain,EMEA,1209.59
10256,29,51.75,1,1500.75,2004-06-08,Shipped,2,6,2004,Vintage Cars,Danish Wholesale Imports,Kobenhavn,\N,Denmark,EMEA,1500.75
10233,29,82.40,1,2389.60,2004-03-29,Shipped,1,3,2004,Ships,Tekni Collectables Inc.,Newark,NJ,USA,NA,2389.60
10238,29,100.00,1,3167.38,2004-04-09,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,\N,Denmark,EMEA,2900.00
10373,29,100.00,1,3978.51,2005-01-31,Shipped,1,1,2005,Ships,Oulu Toy Supplies,Oulu,Oulu,Finland,EMEA,2900.00
10146,29,100.00,1,4444.54,2003-09-03,Shipped,3,9,2003,Classic Cars,Gift Ideas Corp.,Glendale,CT,USA,NA,2900.00
10339,30,62.16,1,1864.80,2004-11-23,Shipped,4,11,2004,Motorcycles,Tokyo Collectables,Tokyo,Minato-ku,Japan,APAC,1864.80
10321,30,72.70,1,2181.00,2004-11-04,Shipped,4,11,2004,Classic Cars,FunGiftIdeas.com,New Bedford,MA,USA,NA,2181.00
10365,30,87.06,1,2611.80,2005-01-07,Shipped,1,1,2005,Classic Cars,Mini Creations Ltd.,New Bedford,MA,USA,NA,2611.80
10343,30,100.00,1,3098.70,2004-11-24,Shipped,4,11,2004,Classic Cars,Reims Collectables,Reims,\N,France,EMEA,3000.00
10244,30,100.00,1,3525.60,2004-04-29,Shipped,2,4,2004,Vintage Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3000.00
10347,30,100.00,1,3944.70,2004-11-29,Shipped,4,11,2004,Classic Cars,Australian Collectors Co.,Melbourne,Victoria,Australia,APAC,3000.00
10356,30,100.00,1,4462.20,2004-12-09,Shipped,4,12,2004,Vintage Cars,Lyon Souveniers,Paris,\N,France,EMEA,3000.00
10145,31,35.80,1,1109.80,2003-08-25,Shipped,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,NA,1109.80
10355,31,53.47,1,1657.57,2004-12-07,Shipped,4,12,2004,Motorcycles,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,1657.57
10284,31,71.81,1,2226.11,2004-08-21,Shipped,3,8,2004,Planes,Norway Gifts By Mail,Oslo,\N,Norway,EMEA,2226.11
10173,31,89.01,1,2759.31,2003-11-05,Shipped,4,11,2003,Vintage Cars,Rovelli Gifts,Bergamo,\N,Italy,EMEA,2759.31
10337,31,89.38,1,2770.78,2004-11-21,Shipped,4,11,2004,Ships,Classic Legends Inc.,NYC,NY,USA,NA,2770.78
10363,31,94.58,1,2931.98,2005-01-06,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,Uusimaa,Espoo,Finland,EMEA,2931.98
10122,31,100.00,1,4100.99,2003-05-08,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,Marseille,Marseille,France,EMEA,3100.00
10412,31,100.00,1,4253.20,2005-05-03,Shipped,2,5,2005,Classic Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3100.00
10110,31,100.00,1,5074.39,2003-03-18,Shipped,1,3,2003,Vintage Cars,AV Stores,Manchester,Manchester,UK,EMEA,3100.00
10293,32,60.06,1,1921.92,2004-09-09,Shipped,3,9,2004,Ships,Amica Models & Co.,Torino,\N,Italy,EMEA,1921.92
10269,32,63.08,1,2018.56,2004-07-16,Shipped,3,7,2004,Vintage Cars,Salzburg Collectables,Salzburg,\N,Austria,EMEA,2018.56
10297,32,65.51,1,2096.32,2004-09-16,Shipped,3,9,2004,Motorcycles,Clover Collections,Dublin,Dublin,Ireland,EMEA,2096.32
10177,32,76.62,1,2451.84,2003-11-07,Shipped,4,11,2003,Ships,CAF Imports,Madrid,Madrid,Spain,EMEA,2451.84
10270,32,85.72,1,2743.04,2004-07-19,Shipped,3,7,2004,Trucks and Buses,Souveniers And Things Co.,Sydney,Chatswood,Australia,APAC,2743.04
10250,32,87.60,1,2803.20,2004-05-11,Shipped,2,5,2004,Motorcycles,The Sharp Gifts Warehouse,San Jose,CA,USA,NA,2803.20
10416,32,87.60,1,2803.20,2005-05-10,Shipped,2,5,2005,Motorcycles,L'ordine Souveniers,Reggio Emilia,\N,Italy,EMEA,2803.20
10125,32,100.00,1,3254.72,2003-05-21,Shipped,2,5,2003,Vintage Cars,Australian Collectors,Melbourne,Victoria,Australia,APAC,3200.00
10228,32,100.00,1,3360.00,2004-03-10,Shipped,1,3,2004,Trucks and Buses,Cambridge Collectables Co.,Cambridge,MA,USA,NA,3200.00
10380,32,100.00,1,3376.64,2005-02-16,Shipped,1,2,2005,Vintage Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3200.00
10106,32,100.00,1,3986.56,2003-02-17,Shipped,1,2,2003,Planes,Rovelli Gifts,Bergamo,\N,Italy,EMEA,3200.00
10225,32,100.00,1,4529.28,2004-02-22,Shipped,1,2,2004,Classic Cars,Vida Sport,Gensve,Gensve,Switzerland,EMEA,3200.00
10186,32,100.00,1,6004.80,2003-11-14,Shipped,4,11,2003,Planes,Double Decker Gift Stores,London,London,UK,EMEA,3200.00
10243,33,29.54,1,974.82,2004-04-26,Shipped,2,4,2004,Vintage Cars,Diecast Collectables,Boston,MA,USA,NA,974.82
10349,33,46.53,1,1535.49,2004-12-01,Shipped,4,12,2004,Trucks and Buses,Muscle Machine Inc,NYC,NY,USA,NA,1535.49
10195,33,54.68,1,1804.44,2003-11-25,Shipped,4,11,2003,Trains,Mini Classics,White Plains,NY,USA,NA,1804.44
10395,33,69.12,1,2280.96,2005-03-17,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,Paris,\N,France,EMEA,2280.96
10241,33,72.65,1,2397.45,2004-04-13,Shipped,2,4,2004,Vintage Cars,Mini Caravy,Strasbourg,Strasbourg,France,EMEA,2397.45
10182,33,86.31,1,2848.23,2003-11-12,Shipped,4,11,2003,Vintage Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,2848.23
10130,33,100.00,1,3423.75,2003-06-16,Shipped,2,6,2003,Vintage Cars,Auto-Moto Classics Inc.,Brickhaven,MA,USA,NA,3300.00
10227,33,100.00,1,3666.96,2004-03-02,Shipped,1,3,2004,Vintage Cars,Saveley & Henriot,Lyon,\N,France,EMEA,3300.00
10206,33,100.00,1,3871.89,2003-12-05,Shipped,4,12,2003,Classic Cars,Canadian Gift Exchange Network,Vancouver,BC,Canada,NA,3300.00
10143,34,36.66,1,1246.44,2003-08-10,Shipped,3,8,2003,Vintage Cars,Mini Creations Ltd.,New Bedford,MA,USA,NA,1246.44
10398,34,40.22,1,1367.48,2005-03-30,Shipped,1,3,2005,Planes,Reims Collectables,Reims,\N,France,EMEA,1367.48
10169,34,50.21,1,1707.14,2003-11-04,Shipped,4,11,2003,Classic Cars,Anna's Decorations,Sydney,North Sydney,Australia,APAC,1707.14
10181,34,53.83,1,1830.22,2003-11-12,Shipped,4,11,2003,Classic Cars,Herkku Gifts,Bergen,Bergen,Norway,EMEA,1830.22
10334,34,61.38,1,2086.92,2004-11-19,On Hold,4,11,2004,Trucks and Buses,Volvo Model Replicas,Lule,Lule,Sweden,EMEA,2086.92
10397,34,62.24,1,2116.16,2005-03-28,Shipped,1,3,2005,Ships,Alpha Cognac,Toulouse,\N,France,EMEA,2116.16
10262,34,97.38,1,3310.92,2004-06-24,Cancelled,2,6,2004,Planes,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3310.92
10148,34,100.00,1,3598.22,2003-09-11,Shipped,3,9,2003,Vintage Cars,Anna's Decorations,Sydney,North Sydney,Australia,APAC,3400.00
10170,34,100.00,1,3819.56,2003-11-04,Shipped,4,11,2003,Classic Cars,Mini Auto Werke,Graz,\N,Austria,EMEA,3400.00
10372,34,100.00,1,5941.50,2005-01-26,Shipped,1,1,2005,Classic Cars,Tokyo Collectables,Tokyo,Minato-ku,Japan,APAC,3400.00
10104,34,100.00,1,5958.50,2003-01-31,Shipped,1,1,2003,Classic Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3400.00
10210,34,100.00,1,6123.40,2004-01-12,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co.,Osaka,\N,Japan,APAC,3400.00
10366,34,100.00,1,6275.72,2005-01-10,Shipped,1,1,2005,Classic Cars,Royale Belge,Wallonia,Charleroi,Belgium,EMEA,3400.00
10400,34,100.00,1,6433.82,2005-04-01,Shipped,2,4,2005,Planes,The Sharp Gifts Warehouse,San Jose,CA,USA,NA,3400.00
10278,35,45.28,1,1584.80,2004-08-06,Shipped,3,8,2004,Classic Cars,Signal Gift Stores,Las Vegas,NV,USA,NA,1584.80
10292,35,55.07,1,1927.45,2004-09-08,Shipped,3,9,2004,Trains,Land of Toys Inc.,NYC,NY,USA,NA,1927.45
10317,35,83.32,1,2916.20,2004-11-02,Shipped,4,11,2004,Planes,Technics Stores Inc.,Burlingame,CA,USA,NA,2916.20
10120,35,98.05,1,3431.75,2003-04-29,Shipped,2,4,2003,Motorcycles,Australian Collectors,Melbourne,Victoria,Australia,APAC,3431.75
10376,35,100.00,1,3987.20,2005-02-08,Shipped,1,2,2005,Classic Cars,Boards & Toys Co.,Glendale,CA,USA,NA,3500.00
10152,35,100.00,1,4524.10,2003-09-25,Shipped,3,9,2003,Classic Cars,Australian Gift Network,Brisbane,South Brisbane,Australia,APAC,3500.00
10171,35,100.00,1,4680.20,2003-11-05,Shipped,4,11,2003,Classic Cars,Quebec Home Shopping Network,Montreal,Quebec,Canada,NA,3500.00
10320,35,100.00,1,4850.30,2004-11-03,Shipped,4,11,2004,Classic Cars,Volvo Model Replicas,Lule,Lule,Sweden,EMEA,3500.00
10421,35,100.00,1,5433.75,2005-05-29,In Process,2,5,2005,Vintage Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,3500.00
10154,36,64.33,1,2315.88,2003-10-02,Shipped,4,10,2003,Ships,Boards & Toys Co.,Glendale,CA,USA,NA,2315.88
10267,36,75.55,1,2719.80,2004-07-07,Shipped,3,7,2004,Classic Cars,Muscle Machine Inc,NYC,NY,USA,NA,2719.80
10103,36,100.00,1,3680.28,2003-01-29,Shipped,1,1,2003,Trucks and Buses,Baane Mini Imports,Stavern,\N,Norway,EMEA,3600.00
10392,36,100.00,1,4035.96,2005-03-10,Shipped,1,3,2005,Vintage Cars,Mini Auto Werke,Graz,\N,Austria,EMEA,3600.00
10118,36,100.00,1,4219.20,2003-04-21,Shipped,2,4,2003,Ships,Enaco Distributors,Barcelona,Barcelona,Spain,EMEA,3600.00
10229,36,100.00,1,4521.96,2004-03-11,Shipped,1,3,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,3600.00
10305,36,100.00,1,4641.48,2004-10-13,Shipped,4,10,2004,Classic Cars,Marta's Replicas Co.,Cambridge,MA,USA,NA,3600.00
10136,36,100.00,1,5274.72,2003-07-04,Shipped,3,7,2003,Classic Cars,Alpha Cognac,Toulouse,\N,France,EMEA,3600.00
10285,37,41.03,1,1518.11,2004-08-27,Shipped,3,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,MA,USA,NA,1518.11
10222,37,87.75,1,3246.75,2004-02-19,Shipped,1,2,2004,Planes,Collectable Mini Designs Co.,San Diego,CA,USA,NA,3246.75
10245,37,100.00,1,4133.64,2004-05-04,Shipped,2,5,2004,Trucks and Buses,Super Scale Inc.,New Haven,CT,USA,NA,3700.00
10419,37,100.00,1,5202.94,2005-05-17,Shipped,2,5,2005,Classic Cars,Salzburg Collectables,Salzburg,\N,Austria,EMEA,3700.00
10240,37,100.00,1,5959.22,2004-04-13,Shipped,2,4,2004,Classic Cars,Osaka Souveniers Co.,Osaka,\N,Japan,APAC,3700.00
10348,37,100.00,1,5981.42,2004-11-01,Shipped,4,11,2004,Trucks and Buses,Corrida Auto Replicas,Madrid,\N,Spain,EMEA,3700.00
10394,37,100.00,1,6376.58,2005-03-15,Shipped,1,3,2005,Classic Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3700.00
10313,38,45.45,1,1727.10,2004-10-22,Shipped,4,10,2004,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,BC,Canada,NA,1727.10
10286,38,57.20,1,2173.60,2004-08-28,Shipped,3,8,2004,Motorcycles,La Corne D'abondance,Paris,\N,France,EMEA,2173.60
10224,38,58.44,1,2220.72,2004-02-21,Shipped,1,2,2004,Motorcycles,Daedalus Designs Imports,Lille,Lille,France,EMEA,2220.72
10213,38,94.79,1,3602.02,2004-01-22,Shipped,1,1,2004,Vintage Cars,Double Decker Gift Stores,London,London,UK,EMEA,3602.02
10383,38,100.00,1,5340.90,2005-02-22,Shipped,1,2,2005,Classic Cars,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,3800.00
10386,39,55.96,1,2182.44,2005-03-01,Resolved,1,3,2005,Planes,Euro Shopping Channel,Madrid,Madrid,Spain,EMEA,2182.44
10312,39,56.85,1,2217.15,2004-10-21,Shipped,4,10,2004,Vintage Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,2217.15
10185,39,57.82,1,2254.98,2003-11-14,Shipped,4,11,2003,Ships,Mini Creations Ltd.,New Bedford,MA,USA,NA,2254.98
10326,39,60.00,1,2340.00,2004-11-09,Shipped,4,11,2004,Ships,Volvo Model Replicas,Lule,Lule,Sweden,EMEA,2340.00
10396,39,66.67,1,2600.13,2005-03-23,Shipped,1,3,2005,Ships,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,2600.13
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,Atelier graphique,Nantes,\N,France,EMEA,3757.26
10357,39,98.00,1,3822.00,2004-12-10,Shipped,4,12,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,3822.00
10351,39,99.52,1,3881.28,2004-12-03,Shipped,4,12,2004,Planes,Stylish Desk Decors,London,London,UK,EMEA,3881.28
10333,39,100.00,1,4424.16,2004-11-18,Shipped,4,11,2004,Vintage Cars,Mini Wheels Co.,San Francisco,CA,USA,NA,3900.00
10382,39,100.00,1,4890.60,2005-02-17,Shipped,1,2,2005,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,NA,3900.00
